Inventaire,Item_Original,Latin_Standard,Categorie
"Rostaing de Greoux (Manosque, 1547)",Pillule de masereon,,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule de rhabarbaro,,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule imperialles,,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule de fumoterre,Fumaria,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule cochee,,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule de hermodactilles,,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule agregative,,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule elephanguie,,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Trochiscorum de caparibus,,TROCISCUS
"Rostaing de Greoux (Manosque, 1547)",Trochiscorum de campora,,TROCISCUS
"Rostaing de Greoux (Manosque, 1547)",Trochiscorum alkecangi,,TROCISCUS
"Rostaing de Greoux (Manosque, 1547)",Trochiscorum de agarico,Agaricus,TROCISCUS
"Rostaing de Greoux (Manosque, 1547)",Trochiscorum Album Rasis,,TROCISCUS
"Rostaing de Greoux (Manosque, 1547)",Trochiscorum de spodio,,TROCISCUS
"Rostaing de Greoux (Manosque, 1547)",Trochiscorum dya corali,,TROCISCUS
"Rostaing de Greoux (Manosque, 1547)",Trochiscorum de tero,,TROCISCUS
"Rostaing de Greoux (Manosque, 1547)",Trochiscorum de carabe,,TROCISCUS
"Rostaing de Greoux (Manosque, 1547)",Trochiscorum dya rodon,,TROCISCUS
"Rostaing de Greoux (Manosque, 1547)",Trochiscorum squilicticorum,,TROCISCUS
"Rostaing de Greoux (Manosque, 1547)",Trochiscorum de rhabarbaro,,TROCISCUS
"Rostaing de Greoux (Manosque, 1547)",Trochiscorum de terra sigilata,Terra_sigillata,TROCISCUS
"Rostaing de Greoux (Manosque, 1547)",Trochiscorum de myrra,,TROCISCUS
"Rostaing de Greoux (Manosque, 1547)",Trochiscorum de mynis,,TROCISCUS
"Rostaing de Greoux (Manosque, 1547)",Succi absinthii,,SUCCUS
"Rostaing de Greoux (Manosque, 1547)",Alipta muscata,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",[ ___ ],,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Trochiscorum alhandal,,TROCISCUS
"Rostaing de Greoux (Manosque, 1547)",Trochiscorum afredilorum,,TROCISCUS
"Rostaing de Greoux (Manosque, 1547)",Pulvis dya rodon abbatis,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis tria sandali,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis letici Galieni,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis de genis,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis pro matrice,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis dya cucurme,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis dya galange,Galanga,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis sandali rubei,Santalum,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis benedicte,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis dya cimini,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis rezumptini,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis Triphere magne,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis rosate novelle,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis dya papaveris,Papaver,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis dya carthami,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis auree alexandrine,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pouldre blanco,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis requies,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis dya dragatanthi calidi,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis dya calamenti,Calamintha,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis liton tripon,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis dya lace,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis unguenti citrini,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis dya dragatanthi frigidi,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis hyere simplicis,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis hyere picre,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis dya nizon,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Pulvis cimini,,PULVIS
"Rostaing de Greoux (Manosque, 1547)",Galbani,Galbanum,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Assa phetida,Asa_foetida,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Sagapenum,Sagapenum,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Rosarum,Rosa,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Hermodactillorum,Hermodactylus,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Solphre jaulne,Sulfur,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Euphorbii,Euphorbia,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Vitriol,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Colla pixis,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Es ustum,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Sanguinis draconis fin,Sanguis_draconis,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Fistucorum,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Canteridarum,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Gommi arabici,Gummi_arabicum,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Opium tebaicum,Opium,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Verdet,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Coral blanc,Corallium,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Coral rouge,Corallium,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Sal armoniac,Ammoniacum,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Sercacollo,Sarcocolla,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Tuthie,Tutia,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Vitrioli albi,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Cocques de Levant,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Aromaticum rosatum,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Triphere magne,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Trya sandali,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Dya margaritonis,,ELECTUARIUM
"Rostaing de Greoux (Manosque, 1547)",Dya carthami,,ELECTUARIUM
"Rostaing de Greoux (Manosque, 1547)",De succo rosarum,Rosa,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Succre candi,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Rosate novelle,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Dya cymini,Cuminum,ELECTUARIUM
